job_link,job_title,job_role_mapped,human_centred_index,task_repetition_level,automation_risk_score,job_growth_rate,domain_level,ai_dependency,data_source,high_domain,high_ai,skill_group
https://au.linkedin.com/jobs/view/assistant-branch-manager-napa-auto-parts-albury-at-napa-auto-parts-asia-pacific-3738093436,Assistant Branch Manager NAPA Auto Parts - Albury,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-business-manager-other-at-catholic-education-western-australia-3806172013,Assistant Business Manager (Other),,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-centre-manager-at-pacific-smiles-group-3762530801,Assistant Centre Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-chaplain-retirement-living-woolooware-shores-taren-point-at-anglicare-sydney-3770109340,"Assistant Chaplain - Retirement Living - Woolooware Shores, Taren Point",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-educator-at-g8-education-ltd-3738358915,Assistant Educator,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-educator-community-kids-bayswater-early-education-centre-at-g8-education-ltd-3628488876,Assistant Educator | Community Kids Bayswater Early Education Centre,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-educator-community-kids-kadina-at-g8-education-ltd-3784989429,Assistant Educator | Community Kids Kadina,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-educator-first-grammar-seven-hills-at-g8-education-ltd-3798235726,Assistant Educator | First Grammar Seven Hills,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-educator-kool-kids-early-learning-centre-nerang-at-g8-education-ltd-3784985763,Assistant Educator - Kool Kids Early Learning Centre - Nerang,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-general-counsel-at-barings-3799128717,Assistant General Counsel,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-adelaide-metro-suburbs-sa-regional-at-hungry-jack-s%C2%AE-pty-ltd-3684892592,"Assistant Manager - Adelaide Metro, Suburbs, SA Regional",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-adelaide-metro-suburbs-sa-regional-at-hungry-jack-s%C2%AE-pty-ltd-3684893581,"Assistant Manager - Adelaide Metro, Suburbs, SA Regional",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-at-foot-locker-3768774012,Assistant Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-at-grill-d-3803719688,Assistant Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-bankstown-nsw-at-hungry-jack-s%C2%AE-pty-ltd-3780388902,Assistant Manager - Bankstown - NSW,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-bass-hill-nsw-at-hungry-jack-s%C2%AE-pty-ltd-3764581865,Assistant Manager - Bass Hill - NSW,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-bay-central-tavern-at-alh-hotels-3807265236,Assistant Manager - Bay Central Tavern,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-buderim-tavern-at-endeavour-group-3800825904,Assistant Manager - Buderim Tavern,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-golden-beach-tavern-at-endeavour-group-3804742296,Assistant Manager - Golden Beach Tavern,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-highway-hotel-at-endeavour-group-3800830217,Assistant Manager - Highway Hotel,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-melville-myaree-applecross-sth-lakes-spearwood-kararwara-beeliar-claremont-at-hungry-jack-s%C2%AE-pty-ltd-3685200085,"Assistant Manager - Melville, Myaree, Applecross, Sth Lakes , Spearwood, Kararwara Beeliar Claremont",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-sunshine-coast-at-hungry-jack-s%C2%AE-pty-ltd-3757223654,Assistant Manager - Sunshine Coast,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-manager-sunshine-coast-at-hungry-jack-s%C2%AE-pty-ltd-3757229147,Assistant Manager - Sunshine Coast,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-restaurant-manager-at-pullman-ciawi-vimala-hills-resort-spa-convention-3803013682,Assistant Restaurant Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-restaurant-manager-gold-coast-at-hospoworld-resourcing-3794846911,Assistant Restaurant Manager | Gold Coast,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-restaurant-manager-taco-bell-coorparoo-at-collins-foods-limited-3802066006,Assistant Restaurant Manager | Taco Bell Coorparoo,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-venue-manager-shift-supervisors-at-burger-urge-3775564111,Assistant Venue Manager & Shift Supervisors,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/assistant-village-manager-at-lendlease-3786804254,Assistant Village Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-adviser-at-bentley-recruitment-3802833195,Associate Adviser,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-client-service-at-guidepoint-3783549460,"Associate, Client Service",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-clinical-trial-manager-phd-nuclear-medicine-radiopharmaceuticals-radiation-oncology-at-medpace-3805411438,"Associate Clinical Trial Manager (PhD, nuclear medicine / radiopharmaceuticals / radiation oncology)",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-dentist-at-bupa-3789549070,Associate Dentist,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-midwifery-unit-manager-amum-524465-at-workforce-australia-for-individuals-3792121341,Associate Midwifery Unit Manager (AMUM) (524465),,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-midwifery-unit-manager-mith-at-mercy-health-australia-3780295205,Associate Midwifery Unit Manager - MITH,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-professor-at-search-talent-3766860790,Associate Professor,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/associate-technical-director-structural-engineer-overhead-lines-and-substations-at-arcadis-3772516419,Associate Technical Director - Structural Engineer - Overhead Lines and Substations,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/audience-insights-manager-at-pepsico-3806565718,Audience Insights Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/audiologist-at-neurosensory-3802588513,Audiologist,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/audiologist-audiometrist-partnership-opportunity-%E2%80%93-weston-creek-act-at-specsavers-3757633362,Audiologist/Audiometrist Partnership Opportunity – Weston Creek ACT,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/audiologist-audiometrist-specsavers-partnership-opportunity-%E2%80%93-mornington-vic-at-specsavers-3777007597,"Audiologist/Audiometrist Specsavers Partnership Opportunity – Mornington, VIC",,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/audit-manager-top-50-firm-%24130k-%2B-super-at-roc-consulting-group-pty-ltd-3786907909,AUDIT MANAGER | TOP 50 FIRM | $130K + SUPER,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/audit-team-member-intermediate-to-senior-at-kelly%2Bpartners-chartered-accountants-3803871290,Audit Team Member - Intermediate to Senior,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/aut-supervisor-at-oceaneering-3773592143,AUT Supervisor,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/automation-tester-at-avance-consulting-3793575394,Automation Tester,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/azure-modern-workplace-consultant-at-arinco-3789089524,Azure Modern Workplace Consultant,Consultant,0.2690619994306863,0.4079353710542963,0.4078023974152605,0.1183231663000786,0.780601967722306,0.2780237695854979,job_level,,,
https://au.linkedin.com/jobs/view/behaviour-support-practitioner-at-better-rehab-3789261812,Behaviour Support Practitioner,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/bid-administrator-at-mcmahon-services-3770893596,Bid Administrator*,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/boilermaker-team-leader-at-found-people-3801448999,Boilermaker Team Leader,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/boning-room-manager-at-ipa-3800539337,Boning Room Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/boutique-manager-rundle-street-at-talent-solution-partners-3788930760,Boutique Manager Rundle Street,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/brand-ambassador-at-talentplicity-consulting-tpc-3797561734,Brand Ambassador,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/brand-digital-pr-marketing-manager-at-ally-fashion-3790473153,Brand Digital/PR Marketing Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/breakfast-chef-at-southport-sharks-3637241637,Breakfast Chef,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/brewery-administrator-at-workforce-australia-for-individuals-3802110705,Brewery Administrator,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/building-manager-resipm-at-jll-3797023074,Building Manager - RESIpm,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-analyst-at-peoplebank-3789795282,Business Analyst,Business Analyst,0.5183365272702531,0.0154149584484076,0.187807565341498,0.0393579284322481,0.3141186484150606,0.4636492405098508,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-at-bureau-veritas-group-3804043089,Business Development Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-at-datacom-3787390219,Business Development Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-at-iconic-recruit-3797847483,Business Development Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-at-jet-couriers-pyt-ltd-3669961855,Business Development Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-at-new-point-recruitment-3797850319,Business Development Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-at-the-economist-3712834612,Business Development Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-central-north-west-regional-victoria-at-haymes-paint-3686723800,Business Development Manager Central & North West Regional Victoria,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-m-f-at-bouygues-construction-3709443136,Business Development Manager M/F,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-development-manager-victoria-at-utemaster-nz-ltd-3784600733,Business Development Manager (Victoria),,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-manager-at-smith-st-3800527395,Business Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-partner-human-resources-at-south32-3802047123,Business Partner Human Resources,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/business-services-manager-at-lawson-delaney-3790653677,Business Services Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/cadastral-surveyor-melbourne-at-consultanz-civil-engineering-construction-surveying-recruitment-3796844066,Cadastral Surveyor - Melbourne,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/cadbury-casual-retail-display-support-metro-south-at-mondel%C4%93z-international-3802240547,Cadbury Casual Retail Display Support - Metro South,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/campus-recruiter-at-randstad-sourceright-3801401194,Campus Recruiter,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/care-manager-at-infinite-aged-care-3795749982,Care Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/care-manager-at-redstone-recruitment-3789944678,Care Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/care-manager-at-respect-3770864609,Care Manager,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/carpenter-at-now-careers-3801838858,Carpenter,,,,,,,,job_level,,,
https://au.linkedin.com/jobs/view/case-manager-ii-cm-registered-nurse-rn-home-health-at-sutter-health-3801567869,"Case Manager II (CM), Registered Nurse (RN), Home Health",Nurse,0.3566779428117953,0.2405120424055369,0.7105396227289024,-0.0899425559934771,0.6938022718023258,0.0450877551531569,job_level,,,
